1,交互触发对话,npc1,宿舍内,情唔….我刚刚要去找什么来着…,困惑,14
2,交互触发对话,主角,宿舍内,复制的课本。,,6
3,交互触发对话,npc1,宿舍内,没错！但是我忘记放在哪里了….,困惑,15
4,交互触发对话,主角,宿舍内,你的记忆力好差…,尴尬（表无语,8
5,交互触发对话,npc1,宿舍内,是因为指令的副作用…,,,10
6,交互触发对话,主角,宿舍内,指令的副作用？,,7
7,交互触发对话,主角,宿舍内,说起来南桥大学招生确实有要求具备指令（这句也可以考虑删减）,目移（表思考,29
8,交互触发对话,主角,宿舍内,不过通知书上不是说不能在校园滥用指令吗……,,21
13,交互触发对话,主角,宿舍内,"毕竟指令连续多次或超负荷使用会引发失序。（这段作为主角内心独白更好一点）",,37
14,交互触发对话,主角,宿舍内,虽说是一种超能力，但副作用也不小。（这边绿色标记四句全是内心独白）,,33
15,交互触发对话,npc1,宿舍内,我的指令是Crtl+C，Crtl+V。,,19
16,交互触发对话,npc1,宿舍内,可以复制粘贴实体，但连续多次使用或者复制体过于复杂会出现不同程度的失忆。,,,36
17,交互触发对话,npc1,宿舍内,怎么开学第一天就犯这毛病……我都感觉我要失序了。,,闭眼,
18,交互触发对话,主角,宿舍内,能把这种事当玩笑随意说出来还真是可怕啊。（内心独白）,尴尬（表无语,26
19,交互触发对话,npc1,宿舍内,不过还是别学我，指令最好少用。,,,15
20,交互触发对话,npc1,宿舍内,听说当失序累积到一定值就会变成怪物哦。,狡黠,19
22,交互触发对话,弗洛,宿舍内,……日常生活中使用指令是不会引发失序的。,,20
23,交互触发对话,npc1,宿舍内,没错，也不要害怕！,,9
24,交互触发对话,npc1,宿舍内,怪物什么的都是骗小孩子的伎俩罢了。,,17
25,交互触发对话,npc1,宿舍内,我们都是大学生了！,开朗笑,9
26,交互触发对话,弗洛,宿舍内,…,目移,1
27,交互触发对话,主角,宿舍内,所以，你记起来复制的课本放到哪里了吗？,,0
28,交互触发对话,npc1,宿舍内,没有…,,3
29,交互触发对话,主角,宿舍内,我来帮你一起找吧。,,0
30,交互触发对话,主角,宿舍内,你想想刚刚都去哪里了。,,0
31,交互触发对话,npc1,宿舍内,让我想想…,,5
